,train_id,name,item_condition_id,category_name,brand_name,price,shipping,item_description
0,0,MLB Cincinnati Reds T Shirt Size XL,3,Men/Tops/T-shirts,,10.0,1,No description yet
1,1,Razer BlackWidow Chroma Keyboard,3,Electronics/Computers & Tablets/Components & Parts,Razer,52.0,0,This keyboard is in great condition and works like it came out of the box. All of the ports are tested and work perfectly. The lights are customizable via the Razer Synapse app on your PC.
2,2,AVA-VIV Blouse,1,Women/Tops & Blouses/Blouse,Target,10.0,1,"Adorable top with a hint of lace and a key hole in the back! The pale pink is a 1X, and I also have a 3X available in white!"
3,3,Leather Horse Statues,1,Home/Home Décor/Home Décor Accents,,35.0,1,New with tags. Leather horses. Retail for [rm] each. Stand about a foot high. They are being sold as a pair. Any questions please ask. Free shipping. Just got out of storage
4,4,24K GOLD plated rose,1,Women/Jewelry/Necklaces,,44.0,0,Complete with certificate of authenticity
5,5,Bundled items requested for Ruie,3,Women/Other/Other,,59.0,0,"Banana republic bottoms, Candies skirt with matching blazer,Amy Byers suit, Loft bottoms and cami top."
6,6,Acacia pacific tides santorini top,3,Women/Swimwear/Two-Piece,Acacia Swimwear,64.0,0,"Size small but straps slightly shortened to fit xs, besides that, perfect condition"
7,7,Girls cheer and tumbling bundle of 7,3,Sports & Outdoors/Apparel/Girls,Soffe,6.0,1,You get three pairs of Sophie cheer shorts size small and medium girls and two sports bra/boy shorts spandex matching sets in small and medium girls. All items total retail for [rm] in store and you can take him today for less than the price of one item at the store!)
8,8,Girls Nike Pro shorts,3,Sports & Outdoors/Apparel/Girls,Nike,19.0,0,Girls Size small Plus green. Three shorts total.
9,9,Porcelain clown doll checker pants VTG,3,Vintage & Collectibles/Collectibles/Doll,,8.0,0,"I realized his pants are on backwards after the picture. They were very dirty so I hand washed them. He has a stuffed body and painted porcelain head, hands and feet. Back before clowns were too scary. 9"" tall. No chips or cracks but minor paint loss in a few places. Clown Circus Doll Collectible"
10,10,Smashbox primer,2,Beauty/Makeup/Face,Smashbox,8.0,1,0.25 oz Full size is 1oz for [rm] in Sephora
11,11,New vs pi k body mists,1,Beauty/Fragrance/Women,Victoria's Secret,34.0,0,(5) new vs pink body mists (2.5 oz each) Fresh & Clean Sun kiss Cool and bright Total flirt Sweet and flirty
12,12,Black Skater dress,2,"Women/Dresses/Above Knee, Mini",rue,16.0,0,"Xl, great condition"
13,13,Sharpener and eraser,1,Other/Office supplies/School Supplies,Scholastic,4.0,1,No description yet
14,14,HOLD for Dogs2016 Minnetonka boots,3,Women/Shoes/Boots,UGG Australia,43.0,0,Authentic. Suede fringe boots. Great condition! Size 7. If you are between the sizes 5.5-7 and love wearing thick socks during the winter they'd be perfect for you as well (I did last winter) :)
15,15,Sephora tarte birthday gift,1,Beauty/Makeup/Makeup Sets,Tarte,11.0,1,Brand new. Deluxe travel size products. Contains: Amazonian Clay 12 hour Blush in Paaarty - .05oz/1.5g Tarteist Lip Paint in Birthday Suit - .034oz/1ml
16,16,Glitter Eyeshadow,1,Beauty/Makeup/Eyes,Wet n Wild,6.0,1,2 glitter eyeshadows; one in Brass and one in Bleached.
17,17,New: Baby K'tan active baby carrier,1,Kids/Gear/Backpacks & Carriers,,29.0,1,"Brand new in box Size: Medium Color: Coral Retails for [rm] The Baby K’tan ACTIVE is made of a breathable hi-tech performance fabric that wicks away moisture and sweat, blocks over 90% of the sun’s harmful UVA and UVB rays, and provides a unique temperature control. - Ergonomic positioning for healthy infant development. - Evenly distributes weight across back and shoulders. - Double-loop design slips on like a t-shirt."
18,18,"Too Faced Limited ""Merry Macaroons""",1,Beauty/Makeup/Makeup Palettes,Too Faced,25.0,1,"This AUTHENTIC pallete by Too Faced is brand new in mint condition still in original box. It's part of the. Christmas 2016 collection. It has 12 pretty eye shadow colors and a small sized""Better Than Sex"" mascara. Never even swatched. Impeccable shape. Price includes 2 day priority shipping with insurance."
19,19,Cream/ Beige Front Cross Shirt,2,Women/Tops & Blouses/Blouse,Anthropologie,27.0,0,"Fancy, dressy or casual! Dress it up or down 100% polyester; washed once, never dried. Size: Small Brand: lush Purchased from Francesca's Tags: Free People, Anthropology, Dry Goods, Francesca's"
20,20,Torrid Nautical Peplum Tube Top,3,"Women/Tops & Blouses/Tank, Cami",Torrid,13.0,1,Size 1. Worn once. Excellent condition
21,21,NWT VS ULTIMATE SPORTS BRA 34ddd,1,Women/Athletic Apparel/Sports Bras,Victoria's Secret,20.0,0,NWT Victoria's Secret ULTIMATE SPORT BRA -MAXIMUM SUPPORT SIZE 34ddd
22,22,Galaxy S7 Edge (Unlocked) 32GB,3,Electronics/Cell Phones & Accessories/Cell Phones & Smartphones,Samsung,386.0,0,"Reasonable offers welcomed. But if you ask ""lowest"" or lowball I'll block you... - This phone was opened under T-Mobile but has now been unlocked after switching to new phone. - All of the buttons are functioning like new still. - It's in perfect used condition - Check my reviews for honest feedback. - 32GB ; Sorry no charger included"
23,23,Triple car charger,1,Electronics/Cell Phones & Accessories/Chargers & Cradles,,8.0,1,Brand new never used All colors are available Each Only [rm]
24,24,Black and Red Baseball Tee,2,Women/Tops & Blouses/T-Shirts,FOREVER 21,10.0,0,"lanascloset ~~~ description: never worn! ✨ i delete/update my listings and relist them so like my “sold” listings to have easier access to my shop later on ~~~ ✨ i normally ship the following day, but it happens that i ship a few days after purchase ~~~ forever 21 brandy Melville baseball tee"
25,25,Air Jordan carmine 6s,3,Men/Shoes/Athletic,Air Jordan,66.0,0,They are 100 percent authentic. They are beaters but they still have a lot of life in them. No original box.
26,26,Otterbox Defender iPhone 6 Plus/6s Plus,1,"Electronics/Cell Phones & Accessories/Cases, Covers & Skins",Apple,13.0,1,Brand new Otterbox Defender iPhone 6 Plus/6s Plus
27,27,LuLaRoe OS Black With White Polka Dots,3,"Women/Athletic Apparel/Pants, Tights, Leggings",LuLaRoe,24.0,0,Worn one time. Excellent condition
28,28,Forever21 floral romper strapless,2,Women/Swimwear/One-Piece,FOREVER 21,5.0,1,Beautiful Excellent condition Zips and ties in the back Cream liner top to bottom
29,29,Kendra bundle,3,Women/Jeans/Boot Cut,Hollister,16.0,1,"29w. X 33l. Social stretch hollister jeans *** please see picture 4, the leathers tag near the belt loops is tore Also, AE favorite boyfriend size 8 stretch"
30,30,Too Faced Better Than Sex Mascara QTY3,1,Beauty/Makeup/Eyes,Too Faced,32.0,1,BNIB 3 for [rm] Better Than Sex Waterproof Mascara Travel size 4.8g /0.17 oz See my other posts for [rm] each or 2 for [rm]
31,31,"New Lularoe OS leggings, stars",1,"Women/Athletic Apparel/Pants, Tights, Leggings",,50.0,1,No description yet
32,32,Pink bra 36d,1,Women/Underwear/Bras,PINK,22.0,0,Pink bra with logo band! 36d push up
33,33,Caudalíe Beauty Elixir Spray,1,Beauty/Skin Care/Face,Sephora,10.0,1,New unused and authentic. Caudalie beauty elixir mist. 1 oz
34,34,Four puppy dog stuffed animal ty,3,Kids/Toys/Stuffed Animals & Plush,,5.0,1,2 beanie babies pugsley wrinkles Puppy with pumpkin Big dog Retro Pinup Doll Frilly Skirted Adorable Barbie pinkSuper cute! Fan martini cherry pinup anchor marabou #Kitschoure #beasweetlollipopinaworldofsoursuckers From LOVE in sunny San Diego CALI-FORNIA US of A! Absolutely adorable soft genuine real bunny fox Foxy Loxy fur Stunning and gorgeous! Bambi long eyelashes ! Sweet cheeks blush pink juicy dollface! Candy colors! girlfriend. Dance club baby! Panty Present for the girl who has everything! Cupcake couture resin kawaii Lolita dress up gift for lime crime Pegasus unicorn flamingo swan princess kitty pinup rockabilly girls jewelry and wild fox lolita kawaii Gypsy wedding Festival EDF Electronic dance Rave Raver Coachella Party
35,35,Black Capri Leggings w/ Flowers One size,1,"Women/Athletic Apparel/Pants, Tights, Leggings",,13.0,1,One size fits sizes 2-12 92% polyester 8% spandex Super soft!! Capri leggings High waist 1in elastic waist band
36,36,Black bag 30,3,Women/Women's Handbags/Totes & Shoppers,,209.0,0,Pre-owned. Some light scratches on hardware consistent with gentle use. Real togo leather. Comes with twilly.
37,37,Under Armour maroon and gray shirt metal,4,Men/Athletic Apparel/Shirts & Tops,Under Armour,6.0,1,"Has some wear to the back, and few white spots which I believe can be washed out"
38,38,XBOX One,3,Electronics/Video Games & Consoles/Consoles,Xbox,226.0,0,500GB Comes with power cord One controller with rechargeable pack and cord Comes with downloaded games The top is pretty scratched up but it doesn't affect the gameplay
39,39,Victoria secret 34 c corest top,3,Women/Underwear/Bras,Victoria's Secret,10.0,0,Victoria secret 34 c corest top Will bundle to save on shipping If you have any questions please feel free to ask
40,40,Kylie Birthday Edition,1,Beauty/Makeup/Makeup Sets,Kylie Cosmetics,20.0,1,Kylie Happy Birthday Matte Mini Lipstick Kylie Jenner Lip Kit Birthday Matte Lipstick Mini Kit 6 pcs All 6 included for the price. BRAND NEW NEVER OPENED 6 mini lipstick Leo Kristen Dolce Expos PRICE IS FIRM! WILL NOT BE DISAPPOINTED Shipping generally takes 1-3 days via USPS I ship within 24 hours. 48 hours on week
41,41,tropical flower print bra from pink,3,Women/Underwear/Bras,PINK,13.0,1,"Used buh looks brand new and is washed and ready to be shipped Supper cute tropical print Supper comfy and soft Size: 34 AA Great quality Made by Victoria's Secret pink 100% authentic Called ""where every where lightly lined bra"" FREE SHIP SHIPS SAME DAY PRICE INCLUDES SHIPPING AND SELLER FEE"
42,42,lots of Korean Nature Republic face mask,1,Beauty/Skin Care/Face,,14.0,1,"totally 36 masks, will be expired on Feb.."
43,43,Apricot beige stick foundation!!,1,Beauty/Makeup/Face,,12.0,1,Great quality!!! Fast free shipping!! You can find more beautiful items in my listings for a great affordable price!! Everything is sell is new and for free shipping!! I also make bundles!!
44,44,Glass Christmas Bowl✨,2,Vintage & Collectibles/Collectibles/Glass,,12.0,1,Brand new! Never used smoking bowl. Just bought 2 days ago. Can't return these things after you buy. Pretty Christmas colors :) too big for my piece.
45,45,Woman's north face puffer vest,3,Women/Coats & Jackets/Vest,The North Face,51.0,0,"Black outside medium gray inside. Authentic, super warm and in like new condition. Size small and runs true to size."
46,46,Metallic purple slime with sparkles,1,Kids/Toys/Arts & Crafts,,8.0,0,"This slime is approximately 1.5 ounces, very soft, it is kind of sticky, this item also comes in an air tight container for easy storage. This slime was scemted with Sparkling Blackberry Woods by Bath and Body Works."
47,47,Brandy Melville Off Shoulder Crop Top,2,Women/Tops & Blouses/Blouse,Brandy Melville,21.0,0,Brandy Melville Off Shoulder Crop Top. One Size Fits All. EUC. 3/4 sleeves. 100% Rayon. Actual color: Navy Blue and cream in stripes.
